,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
2329,Yashodhara Kathju,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2330,M. G. Chakrapani,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2331,Kalaranjini, Profession Actor ,N\A, Age 56 ,N\A,N\A, Children Prince ,N\A,https://en.wikipedia.org/wiki/Kalaranjini
2332,Aditya Bhattacharya, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age 54 , Nominated For Filmfare Award for Best Story , Parents Rinki Bhattacharya Basu Bhattacharya ,N\A,N\A,https://en.wikipedia.org/wiki/Aditya_Bhattacharya
2333,Ashima Bhalla, Profession Model Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/2016/40316109/original/ashima-bhalla-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ashima_Bhalla
2334,Ritu Kumar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2335,Mahendran,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2336,Manan Katohora,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2337,Norman Pritchard,N\A,N\A, Age Dec. at 52 (1877-1929) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/85/1689988/original/norman-pritchard-athletes-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Norman_Pritchard
2338,Aveek Mukhopadhyay,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2339,Master Suraj,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2340,Rabbi Shergill, Profession Actor ,N\A, Age 46 , Nominated For Filmfare Award for Best Male Playback Singer Zee Cine Award for Best Playback Singer – Male ,N\A,N\A,https://imgix.ranker.com/node_img/312/6236171/original/rabbi-shergill-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Rabbi_Shergill
2341,Hiten Paintal, Profession Actor ,N\A, Age 40 ,N\A, Parents Paintal ,N\A,N\A,https://en.wikipedia.org/wiki/Hiten_Paintal
2342,Monisha Unni, Profession Actor ,N\A, Age Dec. at 21 (1971-1992) ,N\A, Parents Sreedevi Unni Narayanan Unni ,N\A,https://imgix.ranker.com/node_img/81/1608740/original/monisha-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Monisha_Unni
2343,Aashka Goradia, Profession Model Actor ,N\A, Age 33 , Nominated For Indian Telly Jury Award for Best Actress in a Negative Role ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Aashka_Goradia
2344,Valsala Menon,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2345,G. V. Iyer, Profession Screenwriter Actor Film Director ,N\A, Age Dec. at 86 (1917-2003) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/G._V._Iyer
2346,Veeru Devgan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2347,Haripriya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2348,Parm Soor,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2349,Prashant Damle, Profession Actor ,N\A, Age 57 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Prashant_Damle
2350,Kuldeep Manak,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2351,Toshi Sabri,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2352,Meenakshi, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Meenakshi_(actress)
2353,Amulya, Profession Actor ,N\A, Age 25 , Nominated For Filmfare Award for Best Actress – Kannada , Parents Roja Ramani ,N\A,https://imgix.ranker.com/node_img/614/12270336/original/amoolya-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Amulya
2354,K. B. Sundarambal, Profession Actor Singer ,N\A, Age Dec. at 72 (1908-1980) ,N\A, Parents Balambal ,N\A,https://imgix.ranker.com/node_img/71/1401528/original/k-b-sundarambal-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/K._B._Sundarambal
2355,Ajay Mehta,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2356,Amit Kumar, Profession Film Score Composer Actor Voice acting Singer ,N\A, Age 66 , Nominated For Filmfare Award for Best Male Playback Singer , Parents Ruma Guha Thakurta Kishore Kumar Leena Chandavarkar ,N\A,https://imgix.ranker.com/node_img/8/142406/original/amit-kumar-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Amit_Kumar
2357,Vikranth, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Vikranth_Santhosh
2358,Sharath Lohitashwa, Profession Actor ,N\A, Age 47 , Nominated For Filmfare Award for Best Supporting Actor – Kannada , Parents Vatsala Lohithaswa , Children Ankur Lohitashwa ,https://imgix.ranker.com/node_img/476/9518410/original/sharath-lohitashwa-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sharath_Lohitashwa
2359,Maqbool Salmaan, Profession Actor ,N\A, Age 33 ,N\A, Parents P. I. Ebrahimkutty Sameena Ebrahimkutty ,N\A,N\A,http://en.wikipedia.org/wiki/Maqbool_Salmaan
2360,Rajeev Govinda Pillai, Profession Model Actor Dentist ,N\A, Age 37 ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Rajeev_Govinda_Pillai
2361,Anjori Alagh, Profession Model Actor ,N\A, Age 37 ,N\A, Parents Maya Alagh Sunil Alagh ,N\A,N\A,https://en.wikipedia.org/wiki/Anjori_Alagh
2362,Honnappa Bhagavathar, Profession Actor ,N\A, Age Dec. at 77 (1915-1992) , Nominated For National Film Award for Best Feature Film in Kannada , Parents Chikkalingappa , Children Bharath Bhagavathar ,N\A,http://en.wikipedia.org/wiki/Honnappa_Bhagavathar
2363,Simhalan Madhava Panicker, Profession Actor Martial artist Dancer ,N\A, Age Dec. at 74 (1930-2004) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/102/2032280/original/simhalan-madhava-panicker-athletes-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Simhalan_Madhava_Panicker
2364,M. Balamuralikrishna, Profession Film Score Composer Actor Playback singer Multi-instrumentalist ,N\A, Age 88 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/76/1509455/original/mangalampalli-balamuralikrishna-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/M._Balamuralikrishna
2365,O. N. V. Kurup, Profession Poet Lyricist Actor Writer Teacher ,N\A, Age 87 , Nominated For Filmfare Award for Best Lyricist – Malayalam , Parents K. Lakshmikutty Amma O. N. Krishna Kurup , Children Rajeevan Kurup Mayadevi Kurup ,https://imgix.ranker.com/node_img/88/1742909/original/o-n-v-kurup-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/O._N._V._Kurup
2366,Roopak Saluja,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2367,Indra Kumar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2368,J. Om Prakash, Profession Film Producer Film Director ,N\A, Age 92 , Nominated For Filmfare Award for Best Director ,N\A, Children Pinky Roshan ,N\A,https://en.wikipedia.org/wiki/J._Om_Prakash
2369,Kavita Krishnamurthy, Profession Playback singer Singer ,N\A, Age 61 , Nominated For Filmfare Award for Best Female Playback Singer IIFA Award for Best Female Playback International Viewer's Choice Award for MTV India ,N\A,N\A,https://imgix.ranker.com/node_img/68/1355031/original/kavita-krishnamurthy-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kavita_Krishnamurthy
2370,Manish Acharya, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age Dec. at 43 (1967-2010) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Manish_Acharya
2371,Sudeepa Singh, Profession Actor ,N\A, Age 30 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/3107/62138368/original/sudeepa-singh-all-people-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sudeepa_Singh
2372,Roopa Iyer, Profession Set Decorator Film Art Director Production Designer Film Producer Model Screenwriter Actor Costume Designer Writer Film Director ,N\A, Age 37 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/2730/54583549/original/roopa-iyer-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Roopa_Iyer
2373,Tejaswini Pandit, Profession Actor ,N\A, Age 32 ,N\A, Parents Jyoti Pandit Ranjit Pandit ,N\A,N\A,http://en.wikipedia.org/wiki/Tejaswini_Pandit
2374,Sangita, Profession Actor ,N\A,N\A,N\A,N\A, Children Sai Tejaswini ,N\A,http://en.wikipedia.org/wiki/Sangita
2375,Himanshu Rai, Profession Film Producer Actor Lawyer ,N\A, Age Dec. at 48 (1892-1940) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Himanshu_Rai
2376,Prem Krishen, Profession Television producer Film Producer Actor ,N\A,N\A,N\A, Parents Bina Rai Prem Nath , Children Akanksha Malhotra Sidharth Malhotra ,N\A,https://en.wikipedia.org/wiki/Prem_Krishen
2377,Akhil,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2378,Tanu Roy, Profession Model Actor ,N\A, Age 38 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Tanu_Roy
2379,Rekha Vedavyas, Profession Model Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Rekha_Vedavyas
2380,Samuthirakani, Profession Screenwriter Actor Voice acting Film Director ,N\A, Age 45 , Nominated For Vijay Award for Best Supporting Actor Filmfare Award for Best Supporting Actor – Tamil Filmfare Award for Best Director – Tamil Vijay Award for Best Director Vijay Award for Best Story Screenplay Writer ,N\A,N\A,https://imgix.ranker.com/user_node_img/1678/33559078/original/samuthirakani-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Samuthirakani
2381,YVS Chowdary, Profession Screenwriter Film Director ,N\A, Age 53 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/122/2435688/original/yvs-chowdary-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Y._V._S._Chowdary
2382,Anju Arvind,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2383,Usha Chavan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2384,Raja, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/3694/73867587/original/raja-people-in-tv-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Raja_(Tamil_actor)
2385,Esmayeel Shroff,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2386,Devika Rani, Profession Actor ,N\A, Age Dec. at 86 (1908-1994) ,N\A, Parents Leela Choudheri M. N. Choudheri ,N\A,N\A,https://en.wikipedia.org/wiki/Devika_Rani
2387,Kanan Devi, Profession Film Producer Actor Singer ,N\A, Age Dec. at 76 (1916-1992) ,N\A,N\A, Children Siddharta Bhattacharya ,https://imgix.ranker.com/node_img/68/1345816/original/kanan-devi-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kanan_Devi
2388,J. K. Rithesh, Profession Politician Actor ,N\A, Age 46 ,N\A,N\A, Children Arik Roshan ,N\A,https://en.wikipedia.org/wiki/J._K._Rithesh
2389,Anup Jalota, Profession Actor Singer ,N\A, Age 65 , Nominated For Indian Telly Award for Best Title Singer for a TV Show ,N\A,N\A,https://imgix.ranker.com/node_img/3101/62013300/original/anup-jalota-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Anup_Jalota
2390,Kern Wasan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2391,Adoor Bhavani, Profession Actor ,N\A, Age Dec. at 82 (1927-2009) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1546/30917715/original/adoor-bhavani-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Adoor_Bhavani
2392,Adhir Bhatt,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2393,Priya Arun, Profession Actor ,N\A,N\A,N\A,N\A, Children Abhinay Berde ,https://imgix.ranker.com/user_node_img/92/1839659/original/priya-arun-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Priya_Arun
2394,Maanvi Gagroo, Profession Actor ,N\A, Age 33 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/The_Viral_Fever
2395,Laxmikant Shantaram Kudalkar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2396,Narra Venkateswara Rao,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2397,Bhavna Pani, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Bhavna_Pani
2398,Bindu De Stoppani,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2399,Nimisha Suresh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2400,Naeem Alvi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2401,Daniel Balaji,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2402,Jeet Matharru,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2403,Yo Yo Honey Singh, Profession Film Score Composer Record producer Rapper Actor Singer ,N\A, Age 35 , Nominated For MTV Europe Music Award for Best Indian Act ,N\A,N\A,https://imgix.ranker.com/user_node_img/3370/67385279/original/honey-singh-recording-artists-and-groups-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Yo_Yo_Honey_Singh
2404,Parineeti Chopra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2405,Udaykumar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2406,Vasundhara Devi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2407,Yash, Profession Actor ,N\A, Age 33 , Nominated For Filmfare Award for Best Actor – Kannada ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Yash_(actor)
2408,Ben Dubash,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2409,Anita Ratnam, Profession Actor ,N\A, Age 64 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Anita_Ratnam
2410,Lavrenti Lopes, Profession Model Actor ,N\A, Age 32 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Lavrenti_Lopes
2411,Narasimharaju, Profession Comedian Actor ,N\A, Age Dec. at 56 (1923-1979) ,N\A, Parents Venkata Lakshmi Amma Ramaraju ,N\A,https://imgix.ranker.com/user_node_img/83/1647090/original/narasimharaju-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Narasimharaju_(Kannada_actor)
2412,Pujappura Ravi, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Poojappura_Ravi
2413,Vaishali Kasaravalli,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2414,Siddharth Venugopal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2415,Vishal Solanki,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2416,Uttam Mohanty,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2417,Rishma Malik,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2418,Vincent Asokan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2419,S. Theodore Baskaran,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2420,Ranjan Kamath,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2421,Natarajan Subramaniam, Profession Film Producer Cinematographer Actor ,N\A,N\A, Nominated For Apsara Award for Best Cinematography ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Natarajan_Subramaniam
2422,Imaad Shah, Profession Musician Actor ,N\A,N\A,N\A, Parents Naseeruddin Shah Ratna Pathak ,N\A,N\A,https://en.wikipedia.org/wiki/Imaad_Shah
2423,Mandy Takhar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2424,Robin Netscher,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2425,Heeba Shah,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2426,Hara Patnaik, Profession Screenwriter Actor Singer Film Director ,N\A, Age 60 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/787/15730062/original/hara-patnaik-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Hara_Patnaik
2427,M. S. Reddy, Profession Film Producer Writer ,N\A, Age Dec. at 87 (1924-2011) ,N\A,N\A, Children Shyam Prasad Reddy ,N\A,http://en.wikipedia.org/wiki/M._S._Reddy
2428,Anshuman Joshi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2429,Alarmel Valli, Profession Choreographer ,N\A, Age 62 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Alarmel_Valli
2430,Onir, Profession Film Producer Screenwriter Film Editor Film Director ,N\A, Age 49 , Nominated For National Film Award for Best Feature Film in Hindi , Parents Aparesh Dhar Manjushree Dhar ,N\A,https://imgix.ranker.com/user_node_img/1657/33133162/original/onir-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Onir
2431,Subodh Bhave, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Subodh_Bhave
2432,John Vijay,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2433,Mukhyamantri Chandru, Profession Politician Actor ,N\A, Age 65 ,N\A,N\A, Children Bharath Chandru Sharath Chandru ,https://imgix.ranker.com/user_node_img/82/1628318/original/mukhyamantri-chandru-politicians-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mukhyamantri_Chandru
2434,Aditya, Profession Film Producer Model Actor ,N\A, Age 40 , Nominated For Filmfare Award for Best Actor – Kannada , Parents Anuradha Singh Rajendra Singh Babu ,N\A,N\A,http://en.wikipedia.org/wiki/Aditya_(Kannada_actor)
2435,Angelo Nazzo,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2436,Rubina Ali, Profession Actor ,N\A, Age 20 , Nominated For Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture ,N\A,N\A,https://imgix.ranker.com/node_img/788/15749826/original/rubina-ali-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rubina_Ali
2437,Janine Gray, Profession Actor ,N\A, Age 77 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Janine_Gray
2438,James Chalke,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2439,Sonu, Profession Actor ,N\A, Age 28 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1686/33708679/original/sonu-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sonu_Gowda
2440,Chandana Sharma, Profession Actor ,N\A, Age 39 ,N\A, Parents Anil Sharma Anjana Bhowmick ,N\A,N\A,https://en.wikipedia.org/wiki/Chandana_Sharma
2441,Sardool Sikander, Profession Film Score Composer Actor Singer ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Sardool_Sikander
2442,Ustad Bismillah Khan, Profession Musician Actor ,N\A, Age Died at 93 (1913-2006) ,N\A, Parents Paigambar Khan Mitthan Khan , Children Soma Ghosh ,https://imgix.ranker.com/node_img/116/2317006/original/ustad-bismillah-khan-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bismillah_Khan
2443,Mehar Mittal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2444,Pallavi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2445,Kalamandalam Gopi, Profession Actor Kathak Dancer ,N\A, Age 81 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/68/1343335/original/kalamandalam-gopi-films-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kalamandalam_Gopi
2446,Mantra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2447,Pankaj Mullick, Profession Film Score Composer Actor Singer ,N\A, Age Dec. at 73 (1905-1978) ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/88/1751360/original/pankaj-mullick-recording-artists-and-groups-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Pankaj_Mullick
2448,Michael Thangadurai, Profession Actor ,N\A, Age 35 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1645/32893841/original/michael-thangadurai-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Michael_Thangadurai
2449,Melattur Sahadevan, Profession Singer Teacher ,N\A, Age 62 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Melattur_Sahadevan
2450,Swapna Sundari, Profession Actor Dancer ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/1692/33820888/original/swapnasundari-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Swapna_Sundari_(dancer)
2451,Aneesh Sheth,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2452,M. K. Thyagaraja Bhagavathar, Profession Actor Singer ,N\A, Age Dec. at 49 (1910-1959) ,N\A, Parents Krishnamurthy Achary ,N\A,https://imgix.ranker.com/node_img/477/9526815/original/m-k-thyagaraja-bhagavathar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/M._K._Thyagaraja_Bhagavathar
2453,Sachin Patil,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2454,Balijepalli Lakshmikantham, Profession Screenwriter Actor ,N\A, Age Dec. at 72 (1881-1953) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Balijepalli_Lakshmikantam
2455,Kanchi Kaul, Profession Model Actor ,N\A, Age 36 , Nominated For Indian Telly Award for Best Actress in a Lead Role Indian Telly Award for Best Fresh New Face (Female) ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Kanchi_Kaul
2456,Tejas Parvatkar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2457,Vinod Singh,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2458,Reema Kagti, Profession Screenwriter Actor Writer Film Director ,N\A, Age 47 , Nominated For Filmfare Award for Best Screenplay Apsara Award for Best Story Filmfare Award for Best Story ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Reema_Kagti
2459,Sara Khan, Profession Model Actor ," Height 5'1"" ", Age 29 , Nominated For Indian Telly Award for Best Television Personality ,N\A,N\A,https://imgix.ranker.com/node_img/568/11356990/original/sara-khan-all-people-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sara_Khan
2460,Bijon Bhattacharya, Profession Actor Playwright ,N\A, Age Died at 61 (1917-1978) ,N\A,N\A, Children Nabarun Bhattacharya ,https://imgix.ranker.com/node_img/30/582428/original/bijon-bhattacharya-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bijon_Bhattacharya
2461,Gaurav Chakrabarty, Profession Actor ,N\A, Age 31 ,N\A, Parents Mithu Chakrabarty Sabyasachi Chakraborty Mithu Chakraborty ,N\A,https://imgix.ranker.com/node_img/3163/63244069/original/gaurav-chakrabarty-all-people-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Gaurav_Chakrabarty
2462,Apoorva Lakhia,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2463,Begum Para, Profession Actor ,N\A, Age Dec. at 82 (1926-2008) ,N\A, Parents Mian Ehsanul-Haq , Children Ayub Khan ,N\A,http://en.wikipedia.org/wiki/Begum_Para
2464,Deepa Sannidhi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2465,Sanjay Chauhan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2466,Aditi Sarangdhar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2467,Kausha Rach, Profession Actor ,N\A, Age 32 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Kausha_Rach
2468,Tanvi Ganesh Lonkar, Profession Actor ,N\A, Age 23 , Nominated For Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Tanvi_Ganesh_Lonkar
2469,Premji, Profession Film Producer Actor ,N\A, Age Dec. at 90 (1908-1998) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Premji
2470,Nandamuri Harikrishna, Profession Politician Actor ,N\A, Age 62 ,N\A, Parents Basavatarakam Nandamuri N. T. Rama Rao , Children Nandamuri Kalyan Ram N. T. Rama Rao Jr. Janaki Ram ,N\A,https://en.wikipedia.org/wiki/Nandamuri_Harikrishna
2471,Barun Chanda,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2472,Karan Razdan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2473,Japji Khaira,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2474,Akshaya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2475,Surinder Shinda, Profession Film Score Composer Actor Singer ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Surinder_Shinda
2476,Rashid Khan, Profession Singer ,N\A, Age 52 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/94/1875225/original/rashid-khan-recording-artists-and-groups-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Rashid_Khan
2477,Ravi Khemu,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
2478,Vinayak Joshi, Profession Actor ,N\A, Age 31 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Vinayak_Joshi
